      w1[rad/s]       w2[rad/s] beta1[deg] beta2[deg] DOF MOD(QTF)/rho/g PHASE(QTF)[deg] Re(QTF)/rho/g Im(QTF)/rho/g
       0.063        0.063        0.000        0.000  1  0.1895862E-02  0.0000000E+00  0.1895862E-02  0.0000000E+00
       0.126        0.063        0.000        0.000  1  0.1061093E+01  0.8971410E+02  0.5294701E-02  0.1061080E+01
       0.126        0.126        0.000        0.000  1  0.8483583E-02  0.0000000E+00  0.8483583E-02  0.0000000E+00
       0.188        0.063        0.000        0.000  1  0.1762499E+01  0.8892401E+02  0.3309682E-01  0.1762188E+01
       0.188        0.126        0.000        0.000  1  0.6166654E+00  0.8549790E+02  0.4840561E-01  0.6147627E+00
       0.188        0.188        0.000        0.000  1  0.4584793E-01  0.0000000E+00  0.4584793E-01  0.0000000E+00
       0.251        0.063        0.000        0.000  1  0.2119163E+00 -0.1283194E+03 -0.1313976E+00 -0.1662624E+00
       0.251        0.126        0.000        0.000  1  0.9859892E+00 -0.1022995E+03 -0.2100381E+00 -0.9633580E+00
       0.251        0.188        0.000        0.000  1  0.1177395E+01 -0.9962925E+02 -0.1969453E+00 -0.1160807E+01
       0.251        0.251        0.000        0.000  1  0.1611109E+00  0.1800000E+03 -0.1611109E+00  0.0000000E+00
       0.314        0.063        0.000        0.000  1  0.7292298E+00  0.9834306E+02 -0.1058112E+00  0.7215124E+00
       0.314        0.126        0.000        0.000  1  0.1997626E+00 -0.1358048E+03 -0.1432237E+00 -0.1392555E+00
       0.314        0.188        0.000        0.000  1  0.6943086E+00 -0.1060929E+03 -0.1924595E+00 -0.6671010E+00
       0.314        0.251        0.000        0.000  1  0.5083489E+00  0.1030892E+03 -0.1151250E+00  0.4951412E+00
       0.314        0.314        0.000        0.000  1  0.2038717E+00  0.1800000E+03 -0.2038717E+00  0.0000000E+00
       0.377        0.063        0.000        0.000  1  0.1303650E+01  0.9843610E+02 -0.1912536E+00  0.1289544E+01
       0.377        0.126        0.000        0.000  1  0.2850164E+00  0.1269879E+03 -0.1714793E+00  0.2276604E+00
       0.377        0.188        0.000        0.000  1  0.3836592E+00 -0.1396273E+03 -0.2922895E+00 -0.2485181E+00
       0.377        0.251        0.000        0.000  1  0.7522857E+00 -0.8151443E+02  0.1110075E+00 -0.7440504E+00
       0.377        0.314        0.000        0.000  1  0.1907030E+00 -0.1503721E+03 -0.1657695E+00 -0.9427687E-01
       0.377        0.377        0.000        0.000  1  0.1857366E+00  0.1800000E+03 -0.1857366E+00  0.0000000E+00
       0.440        0.063        0.000        0.000  1  0.2156228E+01  0.9934494E+02 -0.3501237E+00  0.2127612E+01
       0.440        0.126        0.000        0.000  1  0.9145681E+00  0.1040167E+03 -0.2215124E+00  0.8873371E+00
       0.440        0.188        0.000        0.000  1  0.6589915E+00  0.1219512E+03 -0.3487362E+00  0.5591536E+00
       0.440        0.251        0.000        0.000  1  0.2432926E+01 -0.8135866E+02  0.3655438E+00 -0.2405308E+01
       0.440        0.314        0.000        0.000  1  0.1245166E+00 -0.1354649E+03 -0.8875810E-01 -0.8732919E-01
       0.440        0.377        0.000        0.000  1  0.2151632E+00 -0.1312028E+03 -0.1417336E+00 -0.1618850E+00
       0.440        0.440        0.000        0.000  1  0.1403410E+00  0.1800000E+03 -0.1403410E+00  0.0000000E+00
       0.502        0.063        0.000        0.000  1  0.3022710E+01  0.9994901E+02 -0.5222387E+00  0.2977254E+01
       0.502        0.126        0.000        0.000  1  0.1726709E+01  0.9986950E+02 -0.2959661E+00  0.1701155E+01
       0.502        0.188        0.000        0.000  1  0.1667925E+01  0.1038627E+03 -0.3996272E+00  0.1619343E+01
       0.502        0.251        0.000        0.000  1  0.4280917E+01 -0.8026894E+02  0.7235764E+00 -0.4219323E+01
       0.502        0.314        0.000        0.000  1  0.3523865E+00  0.8048180E+02  0.5827096E-01  0.3475352E+00
       0.502        0.377        0.000        0.000  1  0.6954968E-01  0.8467023E+02  0.6460324E-02  0.6924899E-01
       0.502        0.440        0.000        0.000  1  0.2929193E-01 -0.1683378E+03 -0.2868724E-01 -0.5921101E-02
       0.502        0.502        0.000        0.000  1  0.1127487E-01  0.0000000E+00  0.1127487E-01  0.0000000E+00
       0.565        0.063        0.000        0.000  1  0.3769364E+01  0.9739092E+02 -0.4848856E+00  0.3738047E+01
       0.565        0.126        0.000        0.000  1  0.2421930E+01  0.9837506E+02 -0.3527601E+00  0.2396102E+01
       0.565        0.188        0.000        0.000  1  0.2365366E+01  0.1050746E+03 -0.6151755E+00  0.2283970E+01
       0.565        0.251        0.000        0.000  1  0.5503756E+01 -0.7291898E+02  0.1616583E+01 -0.5260987E+01
       0.565        0.314        0.000        0.000  1  0.1528241E+01  0.7651069E+02  0.3564835E+00  0.1486082E+01
       0.565        0.377        0.000        0.000  1  0.1094211E+01  0.7437796E+02  0.2946602E+00  0.1053789E+01
       0.565        0.440        0.000        0.000  1  0.7842248E+00  0.7400019E+02  0.2161590E+00  0.7538460E+00
       0.565        0.502        0.000        0.000  1  0.4375393E+00  0.6906595E+02  0.1563298E+00  0.4086583E+00
       0.565        0.565        0.000        0.000  1  0.1454287E+00  0.0000000E+00  0.1454287E+00  0.0000000E+00
       0.628        0.063        0.000        0.000  1  0.4415895E+01  0.9485622E+02 -0.3738311E+00  0.4400043E+01
       0.628        0.126        0.000        0.000  1  0.2722934E+01  0.1009830E+03 -0.5187690E+00  0.2673059E+01
       0.628        0.188        0.000        0.000  1  0.2177267E+01  0.1250736E+03 -0.1251118E+01  0.1781908E+01
       0.628        0.251        0.000        0.000  1  0.5590355E+01 -0.5080070E+02  0.3533215E+01 -0.4332258E+01
       0.628        0.314        0.000        0.000  1  0.3432708E+01  0.7690075E+02  0.7779840E+00  0.3343385E+01
       0.628        0.377        0.000        0.000  1  0.2780235E+01  0.7612533E+02  0.6666971E+00  0.2699115E+01
       0.628        0.440        0.000        0.000  1  0.2352574E+01  0.7661633E+02  0.5445517E+00  0.2288682E+01
       0.628        0.502        0.000        0.000  1  0.1687673E+01  0.7596055E+02  0.4094124E+00  0.1637260E+01
       0.628        0.565        0.000        0.000  1  0.8050503E+00  0.6945004E+02  0.2825919E+00  0.7538221E+00
       0.628        0.628        0.000        0.000  1  0.3136883E+00  0.0000000E+00  0.3136883E+00  0.0000000E+00
       0.691        0.063        0.000        0.000  1  0.5118280E+01  0.1032597E+03 -0.1173958E+01  0.4981829E+01
       0.691        0.126        0.000        0.000  1  0.2781457E+01  0.1180293E+03 -0.1307070E+01  0.2455214E+01
       0.691        0.188        0.000        0.000  1  0.2869628E+01 -0.1774763E+03 -0.2866845E+01 -0.1263582E+00
       0.691        0.251        0.000        0.000  1  0.6831883E+01 -0.2810807E+01  0.6823664E+01 -0.3350230E+00
       0.691        0.314        0.000        0.000  1  0.5714249E+01  0.7741722E+02  0.1244848E+01  0.5577005E+01
       0.691        0.377        0.000        0.000  1  0.4712595E+01  0.7699561E+02  0.1060454E+01  0.4591731E+01
       0.691        0.440        0.000        0.000  1  0.4239746E+01  0.7695662E+02  0.9568626E+00  0.4130359E+01
       0.691        0.502        0.000        0.000  1  0.3536284E+01  0.7596983E+02  0.8573110E+00  0.3430790E+01
       0.691        0.565        0.000        0.000  1  0.2462039E+01  0.7222758E+02  0.7515056E+00  0.2344542E+01
       0.691        0.628        0.000        0.000  1  0.1341897E+01  0.5614707E+02  0.7475214E+00  0.1114406E+01
       0.691        0.691        0.000        0.000  1  0.1002524E+01  0.0000000E+00  0.1002524E+01  0.0000000E+00
       0.754        0.063        0.000        0.000  1  0.5716519E+01  0.1324477E+03 -0.3858176E+01  0.4218184E+01
       0.754        0.126        0.000        0.000  1  0.3771002E+01  0.1601520E+03 -0.3546991E+01  0.1280356E+01
       0.754        0.188        0.000        0.000  1  0.7329854E+01 -0.1539202E+03 -0.6583549E+01 -0.3222368E+01
       0.754        0.251        0.000        0.000  1  0.1327879E+02  0.2824459E+02  0.1169776E+02  0.6284010E+01
       0.754        0.314        0.000        0.000  1  0.7712809E+01  0.7685470E+02  0.1754057E+01  0.7510706E+01
       0.754        0.377        0.000        0.000  1  0.6351455E+01  0.7696024E+02  0.1433061E+01  0.6187675E+01
       0.754        0.440        0.000        0.000  1  0.5946054E+01  0.7595712E+02  0.1442798E+01  0.5768353E+01
       0.754        0.502        0.000        0.000  1  0.5535073E+01  0.7363870E+02  0.1559193E+01  0.5310927E+01
       0.754        0.565        0.000        0.000  1  0.4850044E+01  0.6986967E+02  0.1669176E+01  0.4553766E+01
       0.754        0.628        0.000        0.000  1  0.3747780E+01  0.6235085E+02  0.1739180E+01  0.3319805E+01
       0.754        0.691        0.000        0.000  1  0.2347232E+01  0.4321310E+02  0.1710691E+01  0.1607182E+01
       0.754        0.754        0.000        0.000  1  0.1783878E+01  0.0000000E+00  0.1783878E+01  0.0000000E+00
       0.816        0.063        0.000        0.000  1  0.5856326E+01  0.1796808E+03 -0.5856235E+01  0.3262781E-01
       0.816        0.126        0.000        0.000  1  0.6418933E+01 -0.1659249E+03 -0.6226222E+01 -0.1561046E+01
       0.816        0.188        0.000        0.000  1  0.1447317E+02 -0.1475216E+03 -0.1220947E+02 -0.7771833E+01
       0.816        0.251        0.000        0.000  1  0.2310243E+02  0.3528122E+02  0.1885914E+02  0.1334374E+02
       0.816        0.314        0.000        0.000  1  0.8476285E+01  0.7756996E+02  0.1824497E+01  0.8277597E+01
       0.816        0.377        0.000        0.000  1  0.7142662E+01  0.8106831E+02  0.1108947E+01  0.7056051E+01
       0.816        0.440        0.000        0.000  1  0.7035156E+01  0.8144858E+02  0.1046107E+01  0.6956945E+01
       0.816        0.502        0.000        0.000  1  0.7176019E+01  0.7971214E+02  0.1281591E+01  0.7060650E+01
       0.816        0.565        0.000        0.000  1  0.7247097E+01  0.7655580E+02  0.1684936E+01  0.7048503E+01
       0.816        0.628        0.000        0.000  1  0.6807332E+01  0.7147809E+02  0.2162467E+01  0.6454727E+01
       0.816        0.691        0.000        0.000  1  0.5442988E+01  0.6216855E+02  0.2541179E+01  0.4813370E+01
       0.816        0.754        0.000        0.000  1  0.3941117E+01  0.4231759E+02  0.2914158E+01  0.2653316E+01
       0.816        0.816        0.000        0.000  1  0.5021191E+01  0.0000000E+00  0.5021191E+01  0.0000000E+00
       0.879        0.063        0.000        0.000  1  0.5830008E+01 -0.1664378E+03 -0.5667443E+01 -0.1367146E+01
       0.879        0.126        0.000        0.000  1  0.8599008E+01 -0.1565721E+03 -0.7890116E+01 -0.3418917E+01
       0.879        0.188        0.000        0.000  1  0.1856260E+02 -0.1418269E+03 -0.1459294E+02 -0.1147240E+02
       0.879        0.251        0.000        0.000  1  0.3042883E+02  0.4037319E+02  0.2318194E+02  0.1971069E+02
