      w1[rad/s]       w2[rad/s] beta1[deg] beta2[deg] DOF MOD(QTF)/rho/g PHASE(QTF)[deg] Re(QTF)/rho/g Im(QTF)/rho/g
       0.063        0.063        0.000        0.000  1  0.4266689E+01 -0.8947607E+02  0.3901523E-01 -0.4266510E+01
       0.126        0.063        0.000        0.000  1  0.3140553E+01 -0.8910822E+02  0.4887906E-01 -0.3140172E+01
       0.126        0.126        0.000        0.000  1  0.2163849E+01 -0.8921449E+02  0.2966481E-01 -0.2163646E+01
       0.188        0.063        0.000        0.000  1  0.2429351E+01 -0.8736204E+02  0.1118106E+00 -0.2426777E+01
       0.188        0.126        0.000        0.000  1  0.1720465E+01 -0.9273330E+02 -0.8204377E-01 -0.1718508E+01
       0.188        0.188        0.000        0.000  1  0.1764637E+01 -0.1248665E+03 -0.1008784E+01 -0.1447860E+01
       0.251        0.063        0.000        0.000  1  0.3684108E+01 -0.8988680E+02  0.7279273E-02 -0.3684101E+01
       0.251        0.126        0.000        0.000  1  0.1702440E+01 -0.7260007E+02  0.5090969E+00 -0.1624537E+01
       0.251        0.188        0.000        0.000  1  0.2775506E+01  0.2822732E+01  0.2772139E+01  0.1366827E+00
       0.251        0.251        0.000        0.000  1  0.6645689E+01 -0.1480397E+03 -0.5638304E+01 -0.3517772E+01
       0.314        0.063        0.000        0.000  1  0.3594595E+01 -0.8624897E+02  0.2351622E+00 -0.3586895E+01
       0.314        0.126        0.000        0.000  1  0.2760115E+01 -0.7882789E+02  0.5347913E+00 -0.2707810E+01
       0.314        0.188        0.000        0.000  1  0.3882423E+01 -0.6152907E+02  0.1850800E+01 -0.3412879E+01
       0.314        0.251        0.000        0.000  1  0.2869437E+01  0.1380664E+03 -0.2134631E+01  0.1917555E+01
       0.314        0.314        0.000        0.000  1  0.4062847E+00  0.9943107E+02 -0.6657422E-01  0.4007932E+00
       0.377        0.063        0.000        0.000  1  0.4188841E+01 -0.8305069E+02  0.5068123E+00 -0.4158068E+01
